,PostalCode,Fecha_más_reciente,Recuento_transacciones,Cantidad,Puntuación_actualidad,Puntuación_frecuencia,Puntuación_monetaria,Puntuación_RFM,quintile,Country,Country_codes
1,12347.0,2011-12-07 15:52:00,42,972.8800000000001,5,3,5,535,5,Iceland,16
2,12348.0,2011-09-25 13:13:00,8,586.4,2,3,5,235,2,Finland,12
3,12349.0,2011-11-21 09:51:00,26,587.8199999999999,4,3,5,435,4,Italy,18
4,12350.0,2011-02-02 16:01:00,6,132.4,1,3,5,135,1,Norway,24
5,12352.0,2011-11-03 14:37:00,27,455.9,3,4,4,344,3,Norway,24
6,12353.0,2011-05-19 17:47:00,1,17.700000000000003,1,1,2,112,1,Bahrain,2
7,12354.0,2011-04-21 13:11:00,19,312.68000000000006,1,5,4,154,1,Spain,30
8,12355.0,2011-05-09 13:49:00,3,67.6,1,2,4,124,1,Bahrain,2
9,12356.0,2011-11-17 08:40:00,17,735.4099999999999,4,3,5,435,4,Portugal,26
10,12357.0,2011-11-06 16:07:00,32,1126.9100000000005,4,4,5,445,4,Switzerland,32
11,12358.0,2011-12-08 10:26:00,6,418.38000000000005,5,1,5,515,5,Austria,1
12,12359.0,2011-10-13 12:47:00,74,1559.6999999999996,3,5,5,355,3,Cyprus,7
13,12360.0,2011-10-18 15:22:00,40,719.8900000000001,3,5,3,353,3,Austria,1
14,12361.0,2011-02-25 13:51:00,2,43.199999999999996,1,1,4,114,1,Belgium,3
15,12362.0,2011-12-06 15:40:00,72,1252.76,5,4,4,544,5,Belgium,3
16,12363.0,2011-08-22 10:18:00,7,207.24,2,2,5,225,2,Unspecified,36
17,12364.0,2011-12-02 10:22:00,21,352.4700000000001,5,2,3,523,5,Belgium,3
18,12365.0,2011-02-21 14:04:00,9,446.04,1,4,5,145,1,Cyprus,7
19,12367.0,2011-12-05 16:48:00,4,64.8,5,1,2,512,5,Denmark,9
20,12370.0,2011-10-19 14:51:00,57,1050.5800000000004,3,5,4,354,3,Cyprus,7
21,12371.0,2011-10-11 10:43:00,18,373.46,3,4,3,343,3,Switzerland,32
22,12372.0,2011-09-29 12:12:00,14,311.26,3,3,5,335,3,Denmark,9
23,12373.0,2011-02-01 13:10:00,1,19.5,1,1,2,112,1,Austria,1
24,12374.0,2011-11-14 15:37:00,10,237.87,4,2,4,424,4,Austria,1
25,12375.0,2011-11-29 10:36:00,3,95.6,5,1,2,512,5,Finland,12
26,12377.0,2011-01-28 15:45:00,23,537.96,1,5,5,155,1,Switzerland,32
27,12378.0,2011-08-02 10:34:00,66,1215.1299999999997,2,5,5,255,2,Switzerland,32
28,12379.0,2011-09-19 10:09:00,9,176.8,2,3,3,233,2,Belgium,3
29,12380.0,2011-11-18 11:27:00,35,893.7200000000001,4,4,5,445,4,Belgium,3
30,12381.0,2011-12-05 12:44:00,29,484.58999999999986,5,3,2,532,5,Norway,24
31,12383.0,2011-06-08 08:02:00,29,616.46,1,5,5,155,1,Belgium,3
32,12384.0,2011-11-11 08:39:00,9,233.67,4,2,4,424,4,Switzerland,32
33,12386.0,2011-01-06 12:37:00,2,92.7,1,1,4,114,1,Australia,0
34,12388.0,2011-11-24 12:30:00,27,800.95,4,3,5,435,4,Australia,0
35,12390.0,2011-09-21 09:33:00,13,218.55,2,4,2,242,2,Belgium,3
36,12391.0,2011-11-18 12:07:00,23,100.83000000000001,4,3,1,431,4,Cyprus,7
37,12393.0,2011-09-28 15:41:00,19,437.54999999999995,2,4,5,245,2,Australia,0
38,12394.0,2011-10-07 08:08:00,7,268.52,3,2,5,325,3,Denmark,9
39,12395.0,2011-11-24 12:20:00,58,1104.5500000000004,4,5,3,453,4,Belgium,3
40,12397.0,2011-11-04 09:52:00,45,832.2400000000002,3,5,4,354,3,Belgium,3
41,12398.0,2011-10-25 10:27:00,30,568.9,3,4,5,345,3,Switzerland,32
42,12399.0,2011-08-12 13:15:00,19,363.8299999999999,2,4,4,244,2,Belgium,3
43,12401.0,2011-02-09 13:50:00,2,25.95,1,1,3,113,1,Belgium,3
44,12402.0,2011-01-20 13:49:00,1,11.7,1,1,1,111,1,Belgium,3
45,12403.0,2011-10-21 10:51:00,2,175.9,3,1,5,315,3,Denmark,9
46,12405.0,2011-07-14 08:52:00,16,379.76,2,4,4,244,2,Finland,12
47,12406.0,2011-11-17 19:22:00,30,1109.5700000000002,4,4,5,445,4,Denmark,9
48,12407.0,2011-10-21 10:11:00,25,538.1200000000001,3,4,4,344,3,Belgium,3
49,12408.0,2011-11-07 12:27:00,24,555.09,4,3,5,435,4,Belgium,3
50,12409.0,2011-09-22 10:38:00,33,3424.7,2,5,5,255,2,Switzerland,32
51,12410.0,2011-02-04 10:39:00,10,192.08000000000004,1,4,4,144,1,Switzerland,32
52,12412.0,2011-09-26 10:16:00,18,382.27000000000004,2,4,4,244,2,Denmark,9
53,12413.0,2011-10-04 09:00:00,13,228.35000000000002,3,3,3,333,3,France,13
54,12414.0,2011-04-26 09:12:00,3,142.8,1,2,5,125,1,Austria,1
